neg,neu,pos,q,preds,category,texts,processed,wc,uwc
0.7282165406138438,0.2552088637858977,0.013518107111569784,0.0030564884886889396,neg,test,ได้ข่าวว่าจะชุมนุมใหญ่ ขับไล่รัฐบาลจะบอกว่ารัฐบาล รับมือโควิดได้ดี เเบบนี้ก็ได้หรือวะ เเค่เพราะพวกกุไม่ได้เป็นรัฐบาลต้องไล่ คนชั่วช้าสารเลว บ้านเมืองมีวิกฤติพยายามจะซ้ำเติม คุยใหญ่คุยโตรัฐบาลกลัวม็อบ มีเหี้ยไรที่เขาต้องกลัว ออกไปทำเหี้ยไรได้นอกจากไปนั่งฟังเเกนนำเห่า 555,ได้ข่าว|ว่า|จะ|ชุมนุม|ใหญ่|ขับไล่|รัฐบาล|จะ|บอ|กว่า|รัฐบาล|รับมือ|โค|วิด|ได้ดี|แบบนี้|ก็ได้|หรือ|วะ|แค่|เพราะ|พวก|กุ|ไม่ได้|เป็น|รัฐบาล|ต้อง|ไล่|คน|ชั่วช้า|สารเลว|บ้านเมือง|มี|วิกฤติ|พยายาม|จะ|ซ้ำเติม|คุย|ใหญ่|คุยโต|รัฐบาล|กลัว|ม็อบ|มี|เหี้ย|ไร|ที่|เขา|ต้อง|กลัว|ออก|ไป|ทำ|เหี้ย|ไร|ได้|นอก|จากไป|นั่ง|ฟัง|แกนนำ|เห่า|555,63,52
0.3888214127282249,0.5577566133829326,0.04535282335900908,0.008069150529833286,neu,test,เชิงเทียนฉันมาแล้ว งดด่ารัฐบาลแป้บขอกรี้ดก่อน,เชิงเทียน|ฉัน|มา|แล้ว|งด|ด่า|รัฐบาล|แป้บ|ขอก|รี้|ด|ก่อน,12,12
0.2400058573763946,0.6934890778028399,0.05693192941612968,0.009573135404635849,neu,test,เขาชม เพราะชาวบ้านบริจาคอาหารช่วยเหลือค่ะ ไม่ใช่เพราะรัฐบาลหน้าโง่ โปรดแยกแยะด้วยค่ะ อิสลิ่ม ,เขา|ชม|เพราะ|ชาวบ้าน|บริจาค|อาหาร|ช่วยเหลือ|ค่ะ|ไม่ใช่|เพราะ|รัฐบาล|หน้า|โง่|โปรด|แยกแยะ|ด้วย|ค่ะ|อิส|ลิ่ม,19,17
0.21723051200572432,0.7607521994033677,0.019234032114935972,0.0027832564759720122,neu,test,"โรงเรียนมัธยมในเวียดนามเปิดเรียนอีกครั้งวันนี้ (4 พ.ค.) หลังรัฐบาลสั่งปิดมานานกว่า 3 เดือน สกัด #โควิด19

วันนี้ ไม่พบผู้ติดเชื้อใหม่ในประเทศติดต่อกันเป็นวันที่ 17 แล้ว

ภาพจาก AFP 

#PPTVHD36 #เราไม่ทิ้งกัน #COVID19 ","โรงเรียนมัธยม|ใน|เวียดนาม|เปิดเรียน|อีกครั้ง|วันนี้|(|4|พ.ค.|)|หลัง|รัฐบาล|สั่ง|ปิด|มา|นาน|กว่า|3|เดือน|สกัด|#|โค|วิด|19|
|
|วันนี้|ไม่|พบ|ผู้|ติดเชื้อ|ใหม่|ในประเทศ|ติดต่อกัน|เป็น|วันที่|17|แล้ว|
|
|ภาพ|จาก|afp|
|
|#|pptvhd|36|#|เรา|ไม่|ทิ้ง|กัน|#|covid|19",56,45
0.10286720097862656,0.7917610272402889,0.0952913986374318,0.010080373143652682,neu,test,รัฐบาลอิตาลีอนุญาตให้ 20 สโมสรในลีกสูงสุดของประเทศ เรียกนักเตะทีมชุดใหญ่กลับมาเริ่มซ้อมที่สโมสรได้ตั้งแต่วันจันทร์นี้ &gt; ,รัฐบาล|อิตาลี|อนุญาต|ให้|20|สโมสร|ใน|ลีก|สูงสุด|ของ|ประเทศ|เรียก|นักเตะ|ทีม|ชุด|ใหญ่|กลับมา|เริ่ม|ซ้อม|ที่|สโมสร|ได้|ตั้งแต่|วัน|จันทร์|นี้|>,27,26
0.2760299421015119,0.6480636622861158,0.06727417898715163,0.008632216625220726,neu,test,@THaWa85736827 @Exo_kim_monster @RedBuffaloFre @apple47719152 @Pannika_FWP รัฐบาลแจกถ้วนหน้าไหมล่ะ อีควาย,@|thawa|85736827|@|exo|_|kim|_|monster|@|redbuffalofre|@|apple|47719152|@|pannika|_|fwp|รัฐบาล|แจก|ถ้วนหน้า|ไหม|ล่ะ|อี|ควาย,25,19
0.09738543864971094,0.8582030066337076,0.034983977777928055,0.009427576938653228,neu,test,หลังจากที่รัฐบาลของประธานาธิบดีโดนัลด์ ทรัมป์ พยายามจะหาหนทางเพื่อลงโทษจีนที่เป็นต้นตอที่ทำให้เกิดโรคโควิด-19 ระบาดทั่วโลก ซึ่งจะเป็นการซ้ำเติมความสัมพันธ์ระหว่าง 2 ชาติที่ย่ำแย่อยู่แล้วจากการทำสงครามการค้า,หลังจากที่|รัฐบาล|ของ|ประธานาธิบดี|โด|นัลด์|ทรัมป์|พยายาม|จะ|หา|หนทาง|เพื่อ|ลงโทษ|จีน|ที่|เป็น|ต้นตอ|ที่|ทำให้เกิด|โรค|โค|วิด|-|19|ระบาด|ทั่วโลก|ซึ่ง|จะ|เป็นการ|ซ้ำเติม|ความสัมพันธ์|ระหว่าง|2|ชาติ|ที่|ย่ำแย่|อยู่|แล้ว|จาก|การ|ทำสงคราม|การค้า,42,39
0.6073271480535173,0.31080251346440446,0.048940344508349554,0.03292999397372879,neg,test,รัฐบาลเวลาทำไรนี่คิดถึงประชาชนบ้างปะวะ งง อิพวกมีอำนาจเนี่ย ส้นตีนชิบ ดูข่าวละแบบหดหู่,รัฐบาล|เวลา|ทำ|ไร|นี่|คิดถึง|ประชาชน|บ้าง|ปะ|วะ|งง|อิ|พวก|มีอำนาจ|เนี่ย|ส้นตีน|ชิบ|ดู|ข่าว|ละ|แบบ|หดหู่,22,22
0.6085283127157579,0.35178449354326047,0.029558701354563944,0.010128492386417746,neg,test,สิ่งแรกที่ IO รัฐบาลทำคือ จัดการการเล่นโซเชียลของปารีณา ไม่ใช่มัวแต่มาปล่อยข่าวปลอมเป็นดาวสยามอย่างนี้,สิ่ง|แรก|ที่|io|รัฐบาล|ทำ|คือ|จัดการ|การ|เล่น|โซเชียล|ของ|ปา|รี|ณา|ไม่ใช่|มัว|แต่|มา|ปล่อยข่าว|ปลอม|เป็น|ดาว|สยาม|อย่างนี้,25,25
0.6104717812205211,0.3435911388031847,0.03595003112677138,0.00998704884952269,neg,test,รอดูอยู่ว่ารัฐบาลจะทำอะไรจริงจังกับโควิด ที่เห็นทุกวันนี้เหมือนจะให้คนไทยสร้างภูมิคุ้มกันได้เองอะเพราะรัฐไม่ทำอะไร,รอ|ดู|อยู่|ว่า|รัฐบาล|จะ|ทำ|อะไร|จริงจัง|กับ|โค|วิด|ที่|เห็น|ทุกวันนี้|เหมือน|จะ|ให้|คนไทย|สร้าง|ภูมิคุ้มกัน|ได้|เอง|อะ|เพราะ|รัฐ|ไม่|ทำ|อะไร,29,26
0.3143765584853042,0.608844692883836,0.07262552514453745,0.004153223486322248,neu,test,พ่อบอกว่ารัฐบาลสิงคโปร์แจกเงิน600$เยียวยาโควิดให้ประชาชนสิงคโปร์”ทุกคน”โดยไม่มีเงื่อนไขใดๆ,พ่อ|บอ|กว่า|รัฐบาล|สิงคโปร์|แจก|เงิน|600|$|เยียวยา|โค|วิด|ให้|ประชาชน|สิงคโปร์|”|ทุกคน|”|โดย|ไม่มีเงื่อนไข|ใดๆ,21,19
0.2226016554428326,0.10858196788969329,0.6627434473475424,0.006072929319931827,pos,test,@JomJai04550942 ไม่เป็นไรนะคะช่วงนี้เงินทองหายากเราเข้าใจค่ะเพราะรัฐบาลมันห่วยแตกเเทนที่จะเอามาช่วยเหลือประชาชนกลับเอาไปซื้อเรือซื้ออาวุธ สู้ๆค่ะด่าเยอะๆนะคะโง่ดีหนูชอบ ,@|jomjai|04550942|ไม่เป็นไร|นะคะ|ช่วงนี้|เงินทอง|หา|ยาก|เรา|เข้าใจ|ค่ะ|เพราะ|รัฐบาล|มัน|ห่วยแตก|แทนที่จะ|เอา|มา|ช่วยเหลือ|ประชาชน|กลับ|เอา|ไป|ซื้อ|เรือ|ซื้อ|อาวุธ|สู้|ๆ|ค่ะ|ด่า|เยอะ|ๆ|นะคะ|โง่|ดี|หนู|ชอบ,39,34
0.9589716856783274,0.018883285264642374,0.020745250300048437,0.0013997787569819036,neg,test,ทีมทำคลิปของคณะก้าวหน้า ถ้าลำดับเนื้อเรื่องดีๆ นี่คือโคตรขยี้เลยนะ แบบแม่งจะโกรธสุดๆไปเลยอะ ข้อมูลคือมีเต็มมาก แต่ลำดับไม่ดีไปนิดนึงอะแง้ เสียดาย แต่ดูแค่นี้ก็โกรธละ ไอส้นตีน รัฐบาลหน้าหี,ทีม|ทำ|คลิป|ของ|คณะ|ก้าวหน้า|ถ้า|ลำดับ|เนื้อเรื่อง|ดี|ๆ|นี่|คือ|โคตร|ขยี้|เลย|นะ|แบบ|แม่|ง|จะ|โกรธ|สุด|ๆ|ไป|เลย|อะ|ข้อมูล|คือ|มี|เต็ม|มาก|แต่|ลำดับ|ไม่ดี|ไป|นิดนึง|อะ|แง้|เสียดาย|แต่|ดู|แค่นี้|ก็|โกรธ|ละ|ไอ|ส้นตีน|รัฐบาล|หน้า|หี,51,43
0.2999305789543066,0.6628642505407645,0.032266864169188926,0.004938306335739928,neu,test,@Thairath_News ด่ารัฐบาลเป็นวรรคเป็นเวรเขาแจกกันเป็นระดับล้าน 10 ล้านคนตัวเองแจกแค่ 2 พันกว่าคนจบประชาสัมพันธ์เสร็จแล้วว่าตัวเองก็ช่วยด้วย,@|thairath|_|news|ด่า|รัฐบาล|เป็นวรรคเป็นเวร|เขา|แจก|กัน|เป็น|ระดับ|ล้าน|10|ล้าน|คน|ตัวเอง|แจก|แค่|2|พัน|กว่า|คน|จบ|ประชาสัมพันธ์|เสร็จ|แล้ว|ว่า|ตัวเอง|ก็|ช่วย|ด้วย,32,28
